variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
mimiciv_hosp,MIMIC-IV HOSP source,Credentialed MIMIC-IV HOSP tables used for hospital diagnoses and laboratory data,Restricted PhysioNet/BigQuery source data,dataset,,PhysioNet credentialed access only,,not applicable,MIMIC-IV v3.1 DOI 10.13026/kpb9-mt58,None,access requires approved credentialed user,Do not export or commit row-level tables,reviewed
mimiciv_icu,MIMIC-IV ICU source,Credentialed MIMIC-IV ICU tables used for ICU context where needed,Restricted PhysioNet/BigQuery source data,dataset,,PhysioNet credentialed access only,,not applicable,MIMIC-IV v3.1 DOI 10.13026/kpb9-mt58,None,access requires approved credentialed user,Do not export or commit row-level tables,reviewed
mimiciv_ed,MIMIC-IV ED source,Credentialed MIMIC-IV-ED tables used for emergency department stays and chief complaints,Restricted PhysioNet/BigQuery source data,dataset,,PhysioNet credentialed access only,,not applicable,MIMIC-IV-ED v2.2 DOI 10.13026/5ntk-km72,None,access requires approved credentialed user,Do not export or commit row-level tables,reviewed
mimiciv_derived_ventilation,Official MIMIC-IV derived ventilation source,Credentialed official derived ventilation concept used for reliable IMV episodes,Release-managed MIMIC-IV derived source validated against its attribute/value metadata table,dataset,,PhysioNet credentialed access only,,not applicable,MIMIC-IV v3.1 official derived concepts,"Filter ventilation_status to InvasiveVent and join stay_id to ICU icustays for hadm_id","_metadata must contain exactly one attribute = mimic_version row with value = 3.1 and ventilation must be accessible","BQ_DATASET_DERIVED defaults to mimiciv_derived; this analysis does not query derived bg or fall back to the legacy regex",reviewed
subject_id,MIMIC subject identifier,Patient-level MIMIC identifier,Identifier carried only in restricted handoff workbooks,integer,,positive integer,,blank,MIMIC source tables,Passed through for joins and QA,never public in row-level form,Restricted identifier; never commit,reviewed
hadm_id,Hospital admission identifier,Admission-level MIMIC identifier,Identifier used to join hospital and ED-derived fields,integer,,positive integer,,blank,MIMIC source tables,Passed through for joins and QA,never public in row-level form,Restricted identifier; never commit,reviewed
ed_stay_id,ED stay identifier,Emergency department stay identifier,Preferred key for matching ED chief complaint records and annotation rows,integer,,positive integer,,blank,MIMIC-IV-ED,Passed through for joins and QA,never public in row-level form,Restricted identifier; never commit,reviewed
annotation_row_id,Annotation benchmark row identifier,Deterministic one-based row number assigned to the private annotation workbook for direct NLP benchmarking,Non-MIMIC row key used to align adjudicated labels with direct classifier predictions,integer,,positive integer,,blank,Rater/classifier notebooks,Assigned from annotation workbook row order after loading sheet cohort_cc_sample,must be unique within the annotation benchmark workbook,Private validation key; allowed in redacted disagreement examples when no MIMIC identifiers are exported,needs_review
chiefcomplaint,Chief complaint raw text,Emergency department chief complaint text,Free-text presenting concern used by the classifier,string,,free text,,blank,MIMIC-IV-ED,Normalized before classification,string; may be blank,Restricted clinical text; never commit row-level values,reviewed
chief_complaint_normalized,Normalized chief complaint,Classifier-normalized chief complaint text,Lowercased and cleaned presenting-concern text used for segmentation and embeddings,string,,free text,,blank,Classifier notebook,Abbreviation expansion/contextual disambiguation/spelling correction/lemmatization,string; may be blank,Restricted derived text; never commit row-level values,reviewed
segment_preds,Segment prediction payload,Serialized segment-level RFV candidate predictions,Audit/debug field showing classifier candidates before visit-level aggregation,string,,serialized structured payload,,blank,Classifier notebook,Generated from phrase segmentation plus embedding/rule model,must parse when present,Restricted derived text-adjacent payload,needs_review
